time_s,V_m1_V,V_m2_V,V_m3_V,V_m4_V,V_m5_V,V_m6_V,V_m7_V,V_m8_V,V_m9_V,V_m10_V,V_m11_V,V_m12_V,V_m13_V,V_m14_V,V_m15_V,V_m16_V,mean_bridge_current_A,mean_bridge_voltage_V,mean_v_tune_V,tank_resonance_frequency_hz
0.39354000000000006,-0.7870624659347605,-0.975653651008186,-1.0847271724828569,-1.1178705264136977,-0.7234421678898514,-1.0350059398161877,-1.258838553982693,-1.083944237209233,-0.9091951330166462,-1.0879292539249852,-1.211729545086151,-1.2675675358146423,-0.8669577043830841,-0.9943925781340388,-1.1197386229215613,-1.0824963503547802,-2.117582368135751e-21,0.0568121924384156,3.9354787095741917,1381.9334823563347
0.39355,-0.6870624659347605,-0.9387302432308954,-1.184727172482857,-1.2178705264136978,-0.7031024579911671,-1.1350059398161878,-1.1588385539826929,-1.183944237209233,-0.8091951330166463,-0.9879292539249852,-1.1117295450861508,-1.246939342064733,-0.7669577043830841,-0.9236749774307622,-1.2197386229215614,-1.1494391094766165,8.470329472543003e-22,0.07763731083285151,3.9355787115742316,1382.374174233827
0.39356,-0.6712107539485515,-1.0037175935892875,-1.1285677421257063,-1.3178705264136978,-0.7697691246578338,-1.0683392731495212,-1.0588385539826928,-1.2506109038758997,-0.7425284663499796,-0.8879292539249852,-1.1117295450861508,-1.346939342064733,-0.6669577043830841,-0.8236749774307622,-1.286405289588228,-1.2494391094766166,0.0,0.09247934572053944,3.935678713574271,1382.6768749841872
0.39357000000000003,-0.7712107539485514,-0.9037175935892875,-1.0285677421257062,-1.417870526413698,-0.6882110720147844,-0.9683392731495212,-1.1255052206493594,-1.1506109038758996,-0.8425284663499796,-0.7879292539249853,-1.1117295450861508,-1.4409087190581022,-0.5669577043830841,-0.7570083107640956,-1.186405289588228,-1.3494391094766167,-8.470329472543003e-22,0.09284854417761244,3.9357787155743114,1382.6429708806968
0.39358000000000004,-0.8712107539485514,-0.8037175935892875,-0.9285677421257063,-1.4845371930803646,-0.7452361597721776,-0.8683392731495212,-1.192171887316026,-1.0506109038758995,-0.9425284663499796,-0.8545959205916519,-1.1117295450861508,-1.3409087190581022,-0.5669577043830841,-0.7570083107640956,-1.086405289588228,-1.4494391094766168,0.0,0.08213916552105438,3.9358787175743517,1382.3565369091539
0.39359000000000005,-0.8623175893640225,-0.8703842602559542,-0.9952344087923729,-1.3845371930803645,-0.8452361597721776,-0.7683392731495212,-1.092171887316026,-1.0846333738022815,-1.0425284663499796,-0.9545959205916519,-1.056806447755013,-1.2742420523914355,-0.6669577043830841,-0.7570083107640956,-1.0197386229215613,-1.5161057761432835,0.0,0.07040897659447548,3.9359787195743916,1382.1479359018413
0.3936,-0.7623175893640225,-0.8956776426023731,-1.0952344087923729,-1.2845371930803644,-0.8000998580183406,-0.8350059398161879,-0.992171887316026,-1.0940450306456198,-1.1425284663499797,-0.9545959205916519,-1.056806447755013,-1.3742420523914356,-0.7669577043830841,-0.8570083107640956,-1.1197386229215613,-1.4161057761432834,-8.470329472543003e-22,0.07579458393825698,3.936078721574431,1382.304348809017
0.39361,-0.7653537744597947,-0.8671986569074854,-1.0285677421257062,-1.1845371930803643,-0.733433191351674,-0.9350059398161878,-0.892171887316026,-0.9940450306456198,-1.1425284663499797,-0.9545959205916519,-1.156806447755013,-1.4107960823066676,-0.8669577043830841,-0.9570083107640955,-1.2197386229215614,-1.3161057761432833,-3.3881317890172014e-21,0.07964016638625317,3.9361787235744714,1382.3872446068006
0.39362,-0.7688440341943938,-0.8809509756003902,-0.9285677421257063,-1.0845371930803642,-0.8334331913516739,-1.035005939816188,-0.9588385539826927,-0.9273783639789531,-1.0425284663499796,-1.054595920591652,-1.156806447755013,-1.3107960823066676,-0.966957704383084,-1.0236749774307623,-1.3197386229215615,-1.2161057761432832,-6.776263578034403e-21,0.07460963146283221,3.9362787255745113,1382.329949273016
0.39363000000000004,-0.8688440341943938,-0.9265855119567635,-0.8285677421257063,-0.9845371930803642,-0.9333730375130023,-1.135005939816188,-1.0588385539826928,-0.9273783639789531,-1.0425284663499796,-1.1212625872583186,-1.156806447755013,-1.2107960823066675,-1.066957704383084,-1.0364071032334496,-1.3864052895882282,-1.116105776143283,0.0,0.055185648544151054,3.936378727574551,1381.9019947084698
0.39364000000000005,-0.9688440341943938,-0.9370555779644465,-0.7285677421257063,-0.8845371930803643,-0.9302033831004458,-1.0683392731495214,-1.1588385539826929,-0.8866406811354124,-1.1425284663499797,-1.0812776131099593,-1.1742298288765323,-1.1107960823066674,-1.166957704383084,-1.1364071032334497,-1.286405289588228,-1.0494391094766164,1.6940658945086007e-21,0.03512850572031769,3.9364787295745916,1381.4656800778698
0.39365000000000006,-0.9688440341943938,-0.8370555779644465,-0.7363484099673525,-0.7845371930803643,-0.9522005494273049,-1.0016726064828547,-1.1355744976981856,-0.8866406811354124,-1.2425284663499798,-1.1272128942344113,-1.1198601993662642,-1.0107960823066673,-1.2669577043830842,-1.204617444832445,-1.186405289588228,-1.1494391094766165,-1.6940658945086007e-21,0.036729860196588096,3.936578731574632,1381.5177094264507
0.39366,-0.8688440341943938,-0.8839343147598647,-0.8363484099673525,-0.6845371930803643,-0.9522005494273049,-1.0016726064828547,-1.0355744976981855,-0.7866406811354124,-1.34252846634998,-1.1272128942344113,-1.0372856270994706,-1.0989293226188874,-1.3669577043830843,-1.1046174448324448,-1.086405289588228,-1.2494391094766166,4.235164736271502e-22,0.03428213117645484,3.9366787335746714,1381.4480860407177
0.39367,-0.7688440341943938,-0.9427760355706675,-0.9030150766340191,-0.5845371930803643,-0.9396126605395779,-1.0605110485850249,-0.9355744976981856,-0.6866406811354124,-1.44252846634998,-1.1272128942344113,-1.0372856270994706,-1.1989293226188875,-1.4669577043830844,-1.0046174448324448,-0.9864052895882279,-1.18277244280995,1.6940658945086007e-21,0.019854888179660014,3.9367787355747113,1381.0470185878007
0.39368000000000003,-0.8355107008610605,-0.8427760355706675,-0.8030150766340192,-0.5178705264136977,-0.9637326691569547,-0.9605110485850249,-0.8355744976981856,-0.677865730952141,-1.54252846634998,-1.1272128942344113,-1.0372856270994706,-1.2655959892855542,-1.5669577043830845,-1.0712841114991114,-1.0530719562548947,-1.0827724428099499,0.0,0.017095376007410776,3.9368787375747516,1380.9569692279429
0.39369000000000004,-0.9355107008610605,-0.7741435530063283,-0.7030150766340192,-0.6178705264136977,-1.0637326691569546,-0.9466498997562116,-0.7355744976981856,-0.7324998060205525,-1.6091951330166467,-1.1849017742432777,-1.033859437431714,-1.165595989285554,-1.5002910377164178,-1.1712841114991115,-1.1530719562548948,-1.1494391094766165,8.470329472543003e-22,0.02084259368655317,3.9369787395747915,1381.0850299474132
0.39370000000000005,-1.0021773675277272,-0.8741435530063283,-0.6030150766340192,-0.7178705264136976,-1.0694119606807027,-1.0245758755405758,-0.8022411643648523,-0.6620220459385421,-1.5091951330166467,-1.1401807176204075,-1.0297021497473886,-1.065595989285554,-1.4002910377164177,-1.2712841114991116,-1.2530719562548949,-1.2494391094766166,8.470329472543003e-22,0.02878049431409102,3.9370787415748314,1381.2881433135499
0.39371000000000006,-0.9021773675277273,-0.9408102196729949,-0.5030150766340192,-0.8178705264136976,-1.0039279932116847,-0.9953930057429031,-0.9022411643648522,-0.7107816733497107,-1.4091951330166466,-1.2401807176204076,-1.0976183382836742,-0.9989293226188873,-1.3002910377164176,-1.3379507781657782,-1.353071956254895,-1.2494391094766166,0.0,0.05159619965632103,3.9371787435748717,1381.7675558813726
0.39372,-0.8021773675277273,-0.840810219672995,-0.5696817433006859,-0.9178705264136976,-0.9039279932116847,-1.095393005742903,-1.0022411643648523,-0.8107816733497106,-1.3091951330166465,-1.2068473842870742,-1.1786499702548625,-1.0989293226188874,-1.2002910377164175,-1.2379507781657781,-1.453071956254895,-1.20159774866986,0.0,0.07399830847798018,3.937278745574911,1382.2637723017829
0.39373,-0.7817771385602104,-0.740810219672995,-0.6696817433006859,-1.0178705264136976,-0.9172989909578203,-1.0287263390762365,-1.068907831031519,-0.9107816733497106,-1.2091951330166464,-1.106847384287074,-1.1786499702548625,-1.1989293226188875,-1.1002910377164175,-1.137950778165778,-1.3864052895882284,-1.30159774866986,-1.6940658945086007e-21,0.08903009154140651,3.9373787475749515,1382.6367033622703
0.39374000000000003,-0.7475683115397594,-0.640810219672995,-0.7696817433006858,-1.1178705264136977,-0.8345933607298645,-0.9287263390762365,-0.968907831031519,-1.0107816733497106,-1.1091951330166463,-1.006847384287074,-1.1172267418961823,-1.2989293226188876,-1.0002910377164174,-1.037950778165778,-1.2864052895882283,-1.40159774866986,3.3881317890172014e-21,0.10782689505260894,3.9374787495749914,1383.0640470142669
0.39375000000000004,-0.6475683115397595,-0.7074768863396617,-0.8696817433006858,-1.2178705264136978,-0.7345933607298645,-0.8287263390762365,-0.968907831031519,-1.110507475250378,-1.0091951330166462,-1.0127972786659452,-1.113958789091142,-1.3989293226188877,-0.9002910377164174,-0.937950778165778,-1.1864052895882282,-1.4188124101431943,-1.6940658945086007e-21,0.11897224747680346,3.937578751575032,1383.3080564930626
0.39376000000000005,-0.6096518116036914,-0.8074768863396616,-0.9696817433006858,-1.151203859747031,-0.6345933607298645,-0.7620596724095698,-1.068907831031519,-1.073025146905166,-0.9091951330166462,-0.9127972786659452,-1.1439110226666795,-1.4989293226188878,-0.8002910377164174,-0.837950778165778,-1.0864052895882281,-1.3188124101431942,1.6940658945086007e-21,0.10807019212375864,3.9376787535750717,1383.0476599490175
0.39377,-0.7096518116036914,-0.9074768863396616,-1.0696817433006858,-1.051203859747031,-0.5345933607298645,-0.8620596724095698,-1.1163242499277601,-1.073025146905166,-0.8091951330166463,-0.8127972786659452,-1.1334496965939205,-1.5655959892855544,-0.7002910377164174,-0.737950778165778,-1.0026605700152953,-1.218812410143194,8.470329472543003e-22,0.0865252732526642,3.937778755575111,1382.536642013793
0.39378,-0.8011444671446815,-1.0074768863396617,-1.1696817433006859,-1.1362760639810172,-0.6012600273965312,-0.9620596724095698,-1.0496575832610935,-1.073025146905166,-0.7091951330166463,-0.7461306119992785,-1.037115604378449,-1.4655959892855543,-0.6002910377164175,-0.637950778165778,-1.0931768310354346,-1.2854790768098607,-8.470329472543003e-22,0.07295017394453195,3.9378787575751515,1382.2575588419002
0.39379000000000003,-0.7872275044771027,-0.9900944900300218,-1.2363484099673525,-1.2362760639810173,-0.7012600273965311,-1.0287263390762365,-1.1479420416785566,-1.0723070369944108,-0.7091951330166463,-0.8461306119992785,-1.1037822710451157,-1.3655959892855543,-0.5002910377164175,-0.5712841114991114,-1.0931768310354346,-1.3854790768098608,1.2705494208814505e-21,0.06924871054456148,3.9379787595751914,1382.1813611003774
0.39380000000000004,-0.8824281494267391,-0.974620244729004,-1.1363484099673524,-1.3362760639810174,-0.8012600273965311,-0.9287263390762365,-1.2146087083452233,-1.1103400282930755,-0.8091951330166463,-0.9127972786659452,-1.1696158075133298,-1.2655959892855542,-0.5479568641591238,-0.6712841114991114,-1.0931768310354346,-1.3026149042827988,0.0,0.05247277727982339,3.9380787615752317,1381.8576183329767
0.39381000000000005,-0.8407845766158625,-0.9434455248719512,-1.0363484099673523,-1.402942730647684,-0.9012600273965311,-0.9620596724095698,-1.1146087083452232,-1.1103400282930755,-0.9091951330166462,-0.8461306119992785,-1.0696158075133297,-1.165595989285554,-0.6479568641591238,-0.7712841114991114,-1.1337336551599453,-1.2026149042827987,-1.6940658945086007e-21,0.04643188934662825,3.9381787635752716,1381.7484194820024
0.39382000000000006,-0.8969609345346613,-0.9479432663658013,-0.9363484099673524,-1.302942730647684,-0.8679266940631978,-1.0259452003814533,-1.014608708345223,-1.0103400282930755,-1.0091951330166462,-0.9461306119992785,-0.9696158075133298,-1.065595989285554,-0.7479568641591238,-0.8712841114991113,-1.0346900667232086,-1.1026149042827986,8.470329472543003e-22,0.026325192995176102,3.9382787655753115,1381.3340177805399
0.39383,-0.8252913861633601,-0.9157526694565525,-0.8363484099673524,-1.2029427306476839,-0.8429722957601496,-0.9259452003814533,-0.9146087083452231,-0.9103400282930755,-1.1091951330166463,-1.0127972786659452,-0.9029491408466631,-0.965595989285554,-0.8479568641591237,-0.9712841114991113,-1.012434221267219,-1.0026149042827985,1.6940658945086007e-21,0.021251369932630663,3.938378767575351,1381.2224262053885
0.39384,-0.7345425135526977,-0.8157526694565526,-0.7545524818957321,-1.1029427306476838,-0.8149659762613716,-0.8529151979278369,-0.831690290323135,-0.8103400282930755,-1.2091951330166464,-0.9313968593325841,-1.002949140846663,-0.8989293226188874,-0.9479568641591237,-1.0712841114991114,-1.0558421418266126,-0.9026149042827986,-1.6940658945086007e-21,0.02408642187781608,3.9384787695753913,1381.2574316924242
